hhid,pid,age,sex,relation,educ_years
27,2,15,2,5,11
28,2,24,1,4,6
29,2,52,1,4,7
30,2,53,2,3,2
31,2,20,1,3,4
32,2,19,1,5,3
33,2,33,2,1,6
34,2,23,2,5,7
35,2,29,1,5,7
36,2,51,1,4,5
37,2,44,2,3,11
38,2,40,1,5,3
39,2,31,2,1,6
40,2,49,2,3,7
41,2,25,2,2,8
42,2,61,2,1,0
43,2,32,2,4,6
44,2,37,1,1,8
45,2,28,1,5,6
46,2,25,2,2,2
47,2,4,2,5,6
48,2,46,2,5,7
49,2,35,1,4,0
50,2,40,2,2,14
51,2,44,2,2,3
52,2,21,1,1,2
53,2,29,2,1,11
54,2,28,2,3,10
55,2,18,2,3,2
56,2,19,1,3,9
57,2,16,1,2,4
58,2,38,1,2,14
59,2,44,1,3,9
60,2,24,2,1,7
61,2,22,2,2,4
62,2,13,1,1,14
63,2,0,1,5,8
64,2,52,1,4,7
65,2,48,1,5,4
66,2,8,2,5,9
67,2,35,2,4,1
68,2,44,2,3,6
69,2,25,1,1,6
70,2,58,1,5,3
71,2,48,2,3,6
72,2,22,2,4,10
73,2,35,1,4,14
74,2,21,2,5,8
75,2,26,1,3,9
76,2,14,1,3,9
77,2,11,1,4,8
78,2,34,2,1,13
79,2,32,2,3,0
80,2,16,2,1,4
81,2,0,2,3,5
82,2,18,1,5,4
83,2,31,1,5,3
84,2,49,2,2,7
85,2,52,1,4,6
86,2,38,1,5,13
87,2,58,2,1,13
88,2,2,1,5,6
89,2,26,1,5,5
90,2,0,2,5,6
91,2,0,1,5,7
92,2,45,2,2,3
93,2,33,1,1,8
94,2,49,2,3,8
95,2,43,1,3,8
96,2,53,1,3,6
97,2,26,1,3,10
98,2,8,1,3,7
99,2,23,1,1,5
100,2,40,1,3,8
101,2,14,2,4,17
102,2,22,1,1,6
103,2,9,2,1,8
104,2,22,1,1,9
105,2,41,2,2,10
106,2,39,1,1,9
107,2,3,1,3,11
108,2,0,1,5,12
109,2,33,1,3,5
110,2,21,2,3,5
111,2,0,1,5,13
112,2,37,2,3,7
113,2,16,2,2,3
114,2,9,1,5,7
115,2,12,2,5,2
116,2,19,2,3,7
117,2,58,2,5,7
118,2,21,1,1,9
119,2,19,1,3,8
120,2,0,1,3,7
1,3,36,1,3,0
2,3,26,2,3,7
3,3,2,1,3,4
4,3,38,2,2,6
5,3,53,2,3,12
6,3,46,2,1,11
7,3,28,1,1,10
8,3,6,2,4,9
9,3,49,2,3,7
10,3,28,2,4,14
11,3,24,1,1,12
12,3,5,2,5,3
13,3,9,2,2,7
14,3,10,2,5,5
15,3,45,2,5,2
16,3,10,2,4,8
17,3,8,1,5,14
18,3,37,1,4,1
19,3,17,1,5,8
20,3,21,2,1,4
21,3,16,2,5,4
22,3,36,2,3,7
23,3,28,1,4,5
24,3,38,2,4,3
25,3,25,2,2,7
26,3,12,2,2,13
27,3,59,2,3,5
28,3,28,1,2,9
29,3,0,1,4,9
30,3,12,2,2,11
31,3,54,2,1,4
32,3,0,1,4,6
33,3,30,1,1,10
34,3,13,2,4,5
35,3,33,2,2,1
36,3,48,1,4,11
37,3,52,2,2,14
38,3,4,1,3,7
39,3,21,2,1,9
40,3,0,2,2,13
41,3,35,2,1,5
42,3,25,2,3,9
43,3,33,2,1,8
44,3,28,2,2,5
45,3,22,2,5,6
46,3,39,2,2,8
47,3,26,2,3,9
48,3,19,1,3,13
49,3,1,2,4,4
50,3,21,2,2,8
51,3,29,1,3,0
52,3,70,1,5,2
53,3,40,1,5,13
54,3,17,2,5,5
55,3,7,2,1,7
56,3,71,2,5,5
57,3,55,1,3,10
58,3,16,2,5,2
59,3,21,1,2,7
60,3,24,1,4,10
61,3,28,1,1,8
62,3,18,2,4,1
63,3,11,1,1,8
64,3,0,1,4,14
65,3,15,2,5,5
66,3,62,2,5,10
67,3,0,2,4,1
68,3,21,2,4,12
69,3,44,1,2,10
70,3,4,2,2,16
71,3,26,2,5,7
72,3,21,2,2,8
73,3,35,2,3,8
74,3,5,1,4,8
75,3,29,1,1,8
76,3,37,2,5,7
77,3,85,2,5,0
78,3,20,2,1,15
79,3,5,1,2,3
80,3,26,2,3,6
81,3,52,2,5,11
82,3,45,2,3,7
83,3,47,1,3,9
84,3,10,2,4,9
85,3,21,2,3,3
86,3,20,1,1,11
87,3,0,2,5,6
88,3,53,1,3,9
89,3,28,2,5,7
90,3,30,1,4,0
91,3,35,1,2,9
92,3,23,2,2,6
93,3,15,2,5,7
94,3,27,2,2,2
95,3,39,1,1,11
96,3,28,1,5,11
97,3,14,2,1,0
98,3,13,1,2,5
99,3,35,1,2,1
100,3,55,1,4,4
101,3,21,1,2,13
102,3,29,2,2,10
103,3,73,2,3,9
104,3,0,1,2,5
105,3,0,1,1,12
106,3,48,2,2,8
107,3,39,2,3,15
108,3,52,1,1,9
109,3,20,2,3,6
110,3,35,1,4,6
111,3,37,2,2,9
112,3,30,2,4,8
113,3,35,1,4,13
114,3,37,1,2,7
115,3,12,2,2,1
116,3,27,1,2,4
117,3,0,2,1,15
118,3,45,2,5,10
119,3,0,1,2,10
120,3,12,1,4,9
1,4,32,1,5,9
2,4,19,2,1,14
3,4,18,1,1,6
4,4,0,1,1,5
5,4,20,1,2,10
6,4,45,2,2,9
7,4,40,2,5,9
8,4,60,2,4,7
9,4,0,2,2,6
10,4,16,2,4,6
11,4,16,1,5,8
12,4,15,1,3,2
13,4,25,1,1,7
14,4,49,2,5,10
15,4,10,2,5,7
16,4,41,2,4,11
17,4,34,2,4,3
18,4,33,2,3,12
19,4,29,2,5,3
20,4,22,2,1,10
21,4,25,2,3,7
22,4,41,2,4,9
23,4,44,2,4,14
24,4,22,2,4,2
25,4,49,1,3,9
26,4,33,1,4,11
27,4,11,1,5,6
28,4,8,2,2,11
29,4,4,1,2,9
30,4,3,2,2,7
31,4,40,2,3,5
32,4,43,2,3,8
33,4,35,2,1,9
34,4,40,2,3,6
35,4,31,1,2,15
36,4,42,2,3,10
37,4,38,2,5,5
38,4,46,1,3,10
39,4,38,2,2,12
40,4,26,1,4,9
