schid,clsid,stuid,sex,age,score_read,score_math
18,2,1,2,14,353.8124464112329,606.2206250127994
19,2,1,1,11,575.4921055678302,340.0485797023634
20,2,1,2,14,553.0656249816062,476.5355001553076
21,2,1,2,15,395.9254277828265,414.3309492886237
22,2,1,1,14,567.5410984549146,391.8692002078931
23,2,1,2,15,594.1674767064339,444.6817253567891
24,2,1,2,11,423.3689756246998,444.9002586623921
25,2,1,2,13,533.5560488648438,346.3905393605764
26,2,1,1,14,449.8732711220819,656.4645761735909
27,2,1,2,11,498.0195602254306,627.9093687054467
28,2,1,1,14,579.9214164272419,473.4329744223318
29,2,1,2,10,418.9331680920755,566.7357631176238
30,2,1,2,11,382.9267521757262,630.2206647298403
31,2,1,1,10,394.5917233157932,449.1886158090944
32,2,1,1,11,500.0946736145602,456.3850080049387
33,2,1,1,11,706.6604869837436,733.1303584689049
34,2,1,1,14,573.2195148467549,672.3987217073843
35,2,1,1,10,490.4165171688228,481.6586390447441
36,2,1,2,15,490.5204529537947,650.7611959398395
37,2,1,1,9,444.6979323113715,301.2199685191806
38,2,1,2,9,567.4528530654036,603.1403244668023
39,2,1,2,13,490.2447813121667,588.033247515248
40,2,1,2,11,565.4970843648135,347.2262346777094
1,3,1,2,13,668.4989611536244,383.1938512600736
2,3,1,1,13,512.362283368473,370.1254073544075
3,3,1,1,15,409.0705253821739,526.8446926035731
4,3,1,1,13,472.4798500511108,559.9128800614316
5,3,1,1,9,433.5421003563257,516.8365467830968
6,3,1,1,11,551.7982199733751,512.2725622340865
7,3,1,2,14,575.4258116302431,529.3942677874896
8,3,1,1,13,578.4413039094818,643.0779649709183
9,3,1,2,11,628.5025572857601,435.7722259327684
10,3,1,1,12,347.6225697742735,463.7237029640605
11,3,1,1,9,422.0793870295107,503.9428919569434
12,3,1,1,8,352.3642421774783,629.0119158496916
13,3,1,1,9,491.143125027339,611.66118576562
14,3,1,2,8,600.511173694476,519.5076346534183
15,3,1,1,11,241.9537488443401,672.7639024446701
16,3,1,1,8,488.1699673033416,451.1567444888291
17,3,1,1,12,626.1354521593191,510.3586877374582
18,3,1,2,11,540.6229717055946,576.0396052044708
19,3,1,1,9,634.8993491357501,542.7147114108587
20,3,1,1,15,267.4439681740915,586.366270458734
21,3,1,1,13,502.5924747799835,572.6929401836423
22,3,1,2,15,648.5651216144423,520.5224215565513
23,3,1,1,12,533.1595384946995,668.0573420337146
24,3,1,2,11,538.7771458877104,506.9886276110614
25,3,1,2,15,447.1631042454427,567.4078535716799
26,3,1,1,12,646.9161653585973,533.8531376398075
27,3,1,1,11,534.4306453540642,476.3614931353116
28,3,1,2,14,451.5441870217037,408.7158759958331
29,3,1,2,14,590.827167266843,359.7940568060997
30,3,1,2,15,323.8183988883412,615.5298826461558
31,3,1,1,13,663.1578225991184,551.400967235246
32,3,1,1,11,373.5443775447795,505.2944720369538
33,3,1,1,14,606.5570371989386,588.8127157619376
34,3,1,1,10,432.1212047453893,634.1296964575222
35,3,1,1,10,616.9507030436924,513.9534896240548
36,3,1,2,9,397.261541897243,306.5463308279822
37,3,1,2,8,502.9380836126169,644.9525337627156
38,3,1,2,10,500.7469291536103,312.4604545246151
39,3,1,1,14,587.036673634903,526.0412237932611
40,3,1,1,10,453.40787700889,408.6005043749537
1,1,2,1,10,407.3005822874449,579.9786053063729
2,1,2,2,9,380.4930020129021,474.7455526167706
3,1,2,2,13,500.7278852170043,435.1871923923316
4,1,2,2,8,537.7596723188993,640.6165627788167
5,1,2,1,10,614.2560709382386,508.664775836548
6,1,2,1,10,641.6727344688201,506.53164547969
7,1,2,1,13,643.9731829913933,627.7870760614984
8,1,2,2,10,536.2569333518275,460.0702822391413
9,1,2,2,14,400.3560037462402,500.5538495137612
10,1,2,2,8,622.3107276030147,336.3673485493007
11,1,2,1,15,299.1491409805503,442.2242053308914
12,1,2,2,15,415.6767794317647,666.7070813875582
13,1,2,2,11,549.9035043543515,396.2012172645927
14,1,2,2,14,533.2284290583046,309.7854933403232
15,1,2,1,9,467.1577806146321,410.5194618755795
16,1,2,2,15,429.0802521859094,461.3580225282603
17,1,2,2,10,451.3020776965054,488.2940762857033
18,1,2,2,10,503.5645254050089,729.9081497396329
19,1,2,2,11,528.5046954721524,424.8182825403387
20,1,2,1,15,415.7930349067927,667.5702356528244
21,1,2,1,14,490.752320606369,588.7365123421065
22,1,2,2,12,313.3324467713555,410.8418049457757
23,1,2,1,14,534.8210863120703,620.7023418184837
24,1,2,2,15,587.6599316353598,531.442799858816
25,1,2,2,10,455.8733800670051,408.1691773993882
26,1,2,2,13,453.5259656201388,477.3788834199893
27,1,2,2,14,471.0665994848212,573.8136744040679
28,1,2,1,10,527.4607759213651,658.9518339213698
29,1,2,2,8,553.3800962066437,517.5859230864861
30,1,2,2,14,399.1227259105551,466.9419167335419
31,1,2,2,10,682.5889035289192,577.9958490662817
32,1,2,2,10,485.7872931159486,391.0697514938394
33,1,2,1,8,477.2956701804009,499.608250956037
34,1,2,1,10,361.2131738928053,549.7629195934481
35,1,2,1,9,580.1216898592638,407.3530647773792
36,1,2,2,8,376.1393141501831,559.2265221783707
37,1,2,2,11,673.8372632351418,280.493089422778
38,1,2,1,13,466.3294890649544,472.1682698871829
39,1,2,2,15,569.4249912364511,591.1771346254477
40,1,2,2,14,479.2085455707802,502.0528973827705
1,2,2,2,8,596.7369257162629,602.6999420108979
2,2,2,2,14,467.4475271647211,614.3925651207758
3,2,2,1,13,640.6747343892985,533.7184572480281
4,2,2,1,11,599.0076398540882,627.7813975109013
5,2,2,2,10,433.5456176250088,590.7271920507264
6,2,2,1,12,373.1913856340092,554.9180623800444
7,2,2,1,12,629.2467589246942,486.9771690741595
8,2,2,2,12,627.035978821825,438.9484681191304
9,2,2,2,13,620.0645557047235,448.907099976833
10,2,2,1,11,528.0900957821351,390.0699977828606
11,2,2,1,14,715.6377451949066,457.4215896926945
12,2,2,2,14,392.9269792119044,529.8281501889584
13,2,2,2,11,567.9476378405918,432.9051493140717
14,2,2,1,11,318.7737040400781,515.7804855737702
15,2,2,1,14,548.0837131959785,452.8646014966192
16,2,2,1,15,472.1296636321138,639.126595937704
17,2,2,1,11,409.3451778912033,458.0109273774242
18,2,2,1,12,729.7822862899698,579.2382054042362
19,2,2,1,8,598.6215871763819,547.6231238615244
20,2,2,2,9,545.5696385063637,506.6342127950185
21,2,2,2,11,451.1269403185212,445.1254807217102
22,2,2,2,14,522.9999425504514,509.2290630232419
23,2,2,1,11,630.686856975577,652.1228980618934
24,2,2,2,11,503.5596272931944,386.5800653273655
25,2,2,1,11,439.7909024777208,648.9120560328178
26,2,2,1,9,731.5612340458191,612.4283888131908
27,2,2,2,8,529.0112302301726,565.4835752228294
28,2,2,1,10,519.0822461884685,540.8769814824069
29,2,2,2,14,477.8101067925847,555.0291666494692
30,2,2,1,12,726.5080952877826,545.3988253638228
31,2,2,2,9,402.7059314274878,562.2942318529481
32,2,2,2,14,310.2934562713418,405.4426317473543
33,2,2,1,12,745.675273048832,381.7397526759313
34,2,2,1,13,388.6492620690561,548.3448290962099
35,2,2,2,15,545.1060667081179,429.4750209621779
36,2,2,2,11,364.7639519009707,424.6410568044177
37,2,2,2,15,473.0537968233735,389.4428506787828
38,2,2,2,10,537.0511878382346,554.9246194419857
39,2,2,2,8,496.4736835687527,353.3615522411029
40,2,2,2,8,549.7610415573841,634.6119375800464
1,3,2,2,9,483.5164414741673,554.7697239398431
2,3,2,2,9,465.0998685512826,416.4816521950706
3,3,2,2,15,733.1245166954861,498.4736501041641
4,3,2,2,13,441.8434093819729,451.8687138226208
5,3,2,2,13,461.1153648018284,412.737809549855
6,3,2,1,13,428.7514841606613,569.1199176539152
7,3,2,1,8,537.0615925521233,431.8521775877382
8,3,2,2,14,453.7919788256273,500.5554401637406
9,3,2,1,12,416.7932835716103,480.2750309645839
10,3,2,1,15,569.2784174453134,464.4062199449928
11,3,2,1,13,563.9650076127232,509.7074440509147
12,3,2,1,10,423.389396509331,459.6855215452568
13,3,2,2,14,317.2396101557686,463.2564366518103
14,3,2,2,13,578.3288020228504,574.8407738672496
15,3,2,1,9,518.9379990037761,515.6573102882837
16,3,2,2,9,524.6607851366458,580.3910834803028
17,3,2,2,14,541.2114794995533,551.3981732948398
18,3,2,2,10,331.7967515504537,517.971161972909
19,3,2,2,13,419.4677865866803,364.6542709374996
20,3,2,1,12,311.7878613403552,671.4034847071249
21,3,2,2,9,652.7684079858126,222.0055728277658
22,3,2,2,8,525.6040004010797,529.4089636923403
23,3,2,2,12,512.2738555180794,534.9362560290105
24,3,2,2,10,536.0006713750754,434.8096746118804
25,3,2,2,13,533.556647311608,495.8147450898734
26,3,2,1,8,386.6329585365157,485.0676148222757
27,3,2,2,11,443.3532638229157,529.1691510264678
28,3,2,2,10,555.4352601830165,481.1165165158786
29,3,2,1,10,440.8882223665897,540.9332117380433
30,3,2,1,14,656.1998557220772,657.6999016917101
31,3,2,1,9,550.5130553929748,529.9997024099573
32,3,2,1,12,439.0459659898196,438.8182055691633
33,3,2,1,9,480.2154480197116,507.9312848177137
34,3,2,2,13,494.3043012148092,368.8167944477837
35,3,2,1,13,602.1138056462437,420.9073931999264
36,3,2,1,9,437.0958290215862,385.1105076768339
37,3,2,1,13,563.8503362576834,472.471756052588
38,3,2,2,13,373.2733912259627,715.5891017341447
39,3,2,2,13,422.5573294738032,471.1018377832348
40,3,2,1,12,473.8295252597595,480.400419888522
1,1,3,1,11,549.3198092901033,571.7789894921577
2,1,3,2,11,561.0508719558684,479.8719105252347
3,1,3,1,11,766.4592908273154,377.2008771595682
4,1,3,2,12,463.147398032136,205.6700996789177
5,1,3,2,9,593.1050119702247,565.186818749575
6,1,3,2,10,406.5188320460259,459.7173599512333
7,1,3,2,12,762.5565043524293,531.598268097374
8,1,3,1,14,505.9794858069569,386.1996258067047
9,1,3,2,15,518.0126485783389,535.0069977465673
10,1,3,2,14,426.482521957502,605.8072836021234
11,1,3,1,15,374.431590728986,702.2947794112156
12,1,3,2,10,480.8549024428189,549.8786534527015
13,1,3,1,14,371.9964776515316,511.7009775490761
14,1,3,2,14,522.6997824482596,580.5647526951133
15,1,3,2,12,529.4762871048323,400.9378146712108
16,1,3,2,11,415.8733743140106,548.8068458119648
17,1,3,1,8,417.204043159354,549.0507016207625
18,1,3,1,14,473.6308251392945,509.6369623838855
19,1,3,2,11,605.1027635378078,449.6667221636189
20,1,3,2,8,526.7306650416042,355.1969374199862
21,1,3,2,15,430.7921796973072,500.0285599352626
22,1,3,1,15,486.8784437544325,498.8367190763922
23,1,3,1,10,588.3283973218356,583.7777322061507
24,1,3,1,15,530.9913657721194,521.0514863250212
25,1,3,2,15,474.315805360857,539.4335750745802
26,1,3,1,9,459.657706218869,464.8026072549393
27,1,3,1,10,288.055096544487,614.8855041596977
28,1,3,1,14,694.398513735092,441.4762556132403
29,1,3,1,12,554.8795541419013,569.741367484065
30,1,3,2,11,591.8308572795635,449.707914302594
31,1,3,1,10,502.5303281763798,603.6188065572503
32,1,3,2,11,530.0900567478345,640.3277677115302
33,1,3,1,14,350.1967782769777,407.8390504531725
34,1,3,1,14,640.7039610343888,531.543953743172
35,1,3,1,12,552.359985908688,464.5614557494482
36,1,3,2,11,251.606346637149,375.4207931121043
37,1,3,1,14,393.4127111932163,800.6683932359092
38,1,3,2,13,261.602047043378,775.7024791977901
39,1,3,1,10,472.4531266752738,509.3874420798124
40,1,3,2,11,607.7006461357917,467.9469560711144
1,2,3,1,12,375.5110297495314,421.892377481045
2,2,3,1,11,585.6177204030691,548.2915685405068
3,2,3,1,15,576.9056478327701,686.563961117346
4,2,3,2,15,404.4825684792807,365.7273238049024
5,2,3,1,15,483.2662893260141,526.6467160181008
6,2,3,1,11,427.283143944907,495.642431062975
7,2,3,1,10,449.3003733076826,575.8990094573709
8,2,3,1,14,664.8512751555826,546.0570304041421
9,2,3,1,11,525.7837612030148,658.580647071438
10,2,3,1,12,695.0313296889601,415.3406328848861
11,2,3,1,13,503.5557246363589,433.3883365809552
12,2,3,2,10,524.8074052977986,647.7676158302868
13,2,3,2,14,541.4438240462962,556.9772742557232
14,2,3,1,11,581.7838758431726,448.3943879549977
15,2,3,2,9,521.6005793228582,577.7103427234518
16,2,3,2,9,433.5356952464267,435.2485290578488
17,2,3,2,11,483.9309226097836,560.6537977122758
18,2,3,1,12,556.7738958265574,494.5003347602758
19,2,3,1,14,491.549904624948,345.2360434849204
20,2,3,1,11,531.4010527813051,215.325754685568
21,2,3,2,11,509.3508260206824,548.1139630098955
22,2,3,1,12,545.0733922255728,366.5636492568733
23,2,3,2,14,356.3200140571137,670.373169160436
24,2,3,2,9,368.4797682734118,668.098013632465
25,2,3,2,9,564.8324290921174,531.662708424813
26,2,3,2,14,462.080381732177,448.4780601584869
27,2,3,1,12,490.6120307287411,297.3727351452806
28,2,3,2,15,545.9670607807467,412.3958485055094
29,2,3,1,9,645.4895474279149,478.7341847801854
30,2,3,2,13,621.0360504055055,604.4741092986091
31,2,3,2,10,382.6199538928786,648.2766533587302
32,2,3,1,10,506.6226162545059,513.8923748582844
33,2,3,2,9,570.1219641704206,641.2484520350879
34,2,3,2,13,388.3240348349855,556.7294289151261
35,2,3,2,12,657.7242353571567,456.0580108796064
36,2,3,2,11,527.5270119071798,444.9791362208481
37,2,3,2,10,496.0153119073541,627.3716862620184
38,2,3,1,8,486.7737275661987,576.6463424781244
39,2,3,1,9,408.2432367821947,562.7948200633276
40,2,3,2,10,507.931901139789,457.5774547232334
1,3,3,1,13,440.3385905058127,585.7609923181975
2,3,3,1,15,624.1539806417086,537.3755435135589
3,3,3,2,8,559.3725190048636,521.9211680949808
4,3,3,1,15,345.1816307870773,509.0951764785045
5,3,3,1,15,744.4122005754795,430.5406687690081
6,3,3,1,13,662.0392460613143,407.0602434129775
7,3,3,1,10,556.9232058025567,355.5993613982521
8,3,3,1,11,713.485406301925,249.7464422098182
9,3,3,1,14,462.572064611139,426.2748846762339
10,3,3,1,10,498.6574483473135,270.874961944308
11,3,3,1,8,729.8094958317999,544.9048938236347
12,3,3,1,14,486.7220342328789,473.0740562568853
13,3,3,1,13,568.064309905634,378.4261000400866
14,3,3,1,9,481.4989627081823,495.693652311694
15,3,3,2,11,480.2659160503119,505.832456309276
16,3,3,1,13,579.0078384780065,312.2289356232726
17,3,3,2,11,537.7066851018997,417.9201566559051
18,3,3,2,9,633.3866936048244,645.9053046538229
19,3,3,1,9,558.4639092457002,558.311090583656
20,3,3,1,12,572.5863851217902,467.1721451711786
21,3,3,2,13,412.3953165270859,443.6192515820296
22,3,3,2,12,393.7160577139392,464.4868584864678
23,3,3,1,14,660.1973082044742,435.8276311009772
24,3,3,2,10,581.8509112196615,611.0764161145182
25,3,3,1,10,490.5411451962116,523.5586608619712
26,3,3,2,13,682.850870238825,394.3809407075902
27,3,3,2,14,472.6189921709189,656.1957518584202
28,3,3,2,9,600.4601372226437,519.3530016990525
29,3,3,2,15,417.5283908748188,584.5876981754276
30,3,3,2,14,388.8998301006764,482.7922840977282
31,3,3,1,8,596.0435692398604,494.1700235774777
32,3,3,2,9,599.245355533815,678.4458523588941
33,3,3,1,12,467.0898535980725,394.7689093327159
34,3,3,2,12,678.6896478302268,530.6423188045745
35,3,3,1,12,577.1874084737153,580.7492298098323
36,3,3,1,12,679.9998232422944,589.6702017149025
37,3,3,1,10,428.4123679723771,528.2845807942515
38,3,3,1,9,299.7372044110804,470.051431023869
39,3,3,1,11,355.911786322234,552.6164719323618
40,3,3,1,8,431.7528973138089,434.3446997897161
1,1,4,1,10,440.4500062655989,580.9722475574993
2,1,4,2,15,552.3376843085612,476.9482532292706
3,1,4,2,12,410.7568011656305,385.9394844963949
4,1,4,1,14,494.5488837909885,606.724634638592
5,1,4,1,14,544.2481077165223,485.9679047174492
6,1,4,2,8,469.6762388798373,462.4587121521809
7,1,4,2,8,490.181714989556,302.5949104599776
8,1,4,1,10,594.4167776785216,550.4240204893918
9,1,4,1,12,496.2809125929249,541.3488359323212
10,1,4,1,15,296.1964737024502,609.2501134904714
11,1,4,2,13,508.1814866419127,337.4963978037867
12,1,4,2,11,431.4763211664544,434.4978259960731
13,1,4,2,12,564.3045274927301,366.0229873775211
14,1,4,2,10,498.947483104577,392.8989650690634
15,1,4,2,15,617.6877826622739,499.8056801849048
16,1,4,2,15,523.2971740578082,622.3512828795958
17,1,4,2,13,477.1452631522297,765.9201955482722
18,1,4,2,13,523.7343538330156,615.7240811694587
19,1,4,2,11,464.7469417580566,435.7725315081626
20,1,4,2,12,387.4439809595523,576.7857352937763
21,1,4,1,8,539.7932309820694,356.6550240104525
22,1,4,1,10,671.0104749745827,537.6019321629007
23,1,4,2,9,478.2218275439445,557.05279648432
24,1,4,2,10,431.391919088631,576.1504684428346
25,1,4,1,8,654.8613658777912,471.420699303125
26,1,4,2,15,513.3249056782016,496.578922167461
27,1,4,2,15,546.1449722835338,376.2235541876465
28,1,4,1,14,547.1183945511227,466.8250474422073
29,1,4,2,10,417.7749331320756,393.7161478666923
30,1,4,1,9,569.0771859539288,493.0734653705127
31,1,4,2,13,571.0888325639257,519.9556117268797
32,1,4,2,14,495.4733467393671,443.8800703682273
33,1,4,2,14,549.2260721740595,597.2327672734987
34,1,4,2,9,472.0853973092226,530.9560931721664
35,1,4,1,14,488.1324431255521,308.4536772624582
36,1,4,1,15,372.1443724347682,702.5118412322036
37,1,4,2,11,543.4109444338851,569.3945393093207
38,1,4,1,11,548.743907963291,613.8909866680884
39,1,4,1,13,675.2949134207641,468.7246864039965
40,1,4,2,15,560.6027120275455,428.0813580290189
1,2,4,2,9,558.0390753685831,577.4883361175346
2,2,4,1,11,495.6486420867563,671.1192318410416
3,2,4,2,10,446.9885080860207,337.8421425611974
4,2,4,2,12,489.0084016936641,466.4834195534133
5,2,4,1,11,575.8949102185841,541.0670515087864
6,2,4,1,10,655.8532536254822,512.3427977593202
7,2,4,1,8,552.0906516695122,565.1923207017194
8,2,4,1,13,483.1268850883595,590.1103045904973
9,2,4,1,13,511.4356317176918,560.1069180867628
10,2,4,2,9,442.7491613667353,494.8610752167912
11,2,4,1,11,479.22643586088,536.9086931133448
12,2,4,2,15,545.1078372372385,599.6794527044215
13,2,4,1,11,598.2780900253263,549.8779647375021
14,2,4,1,11,313.8841973201942,676.4313818021305
15,2,4,2,13,569.6627053629038,398.861441949797
16,2,4,2,8,706.8993262927603,354.9320874843297
17,2,4,2,11,586.2358466685123,590.4905225127227
18,2,4,2,8,426.109205237957,558.2847416431207
19,2,4,2,12,366.5777488915834,629.1259690720543
20,2,4,2,10,448.2230287880669,517.3415818881273
21,2,4,2,8,518.6442531330365,391.2318441814788
22,2,4,2,12,447.1015776155568,528.4768072301609
23,2,4,1,10,494.9906591102679,561.5989724841812
24,2,4,1,13,382.1422862910063,565.6166492190476
25,2,4,1,15,685.869345754115,458.001998058992
26,2,4,2,12,315.2256462788972,416.1243474258071
27,2,4,1,11,567.6362725482331,383.6687604711236
28,2,4,1,15,441.2880706268026,555.2207674106321
29,2,4,2,9,492.2551398101583,522.5562980967006
30,2,4,2,11,579.8592187255927,646.9629357874417
31,2,4,2,15,299.4643287189373,528.21738438775
32,2,4,1,11,496.014296759683,372.7378142388294
33,2,4,1,13,571.3650832505394,351.2207877614534
34,2,4,1,14,559.1555407220068,356.343337158047
35,2,4,2,10,632.1876793598123,467.4772128933751
36,2,4,1,12,560.943553261606,575.9164224142434
37,2,4,2,10,538.6659224631129,646.183999577362
38,2,4,1,8,301.2286372915553,441.5304450997147
39,2,4,2,13,466.9642606685321,496.2176440489118
40,2,4,2,13,595.2113170978364,466.4537004033177
1,3,4,1,10,630.4196925977717,427.2496701870506
2,3,4,2,11,758.6622608140472,346.47088660559
3,3,4,2,14,315.8246224028906,529.3728542691016
4,3,4,1,14,428.201645441389,572.9864036395304
5,3,4,1,15,516.9137357536791,536.4765729182898
6,3,4,1,15,492.2640912165546,682.8954463046564
7,3,4,1,12,555.1505990742866,478.2412235159377
8,3,4,1,14,507.7667218211093,528.1983512498472
9,3,4,2,10,391.6105143596028,461.5223482705007
10,3,4,2,15,422.3496325882444,361.6750562402249
11,3,4,1,11,554.3812501672055,591.7389304820396
12,3,4,1,12,541.3175513294032,558.7412755847835
13,3,4,1,12,419.6602036703329,618.8213787514343
14,3,4,2,10,573.5964709172861,474.7805637634759
15,3,4,2,14,474.3844903898311,515.8033041626313
16,3,4,2,13,305.9657809087662,388.6687100340332
17,3,4,1,9,572.2797427889055,436.8580014718401
18,3,4,1,12,435.6303218236886,578.7087998836092
19,3,4,1,14,421.5341670649285,492.9196217716979
20,3,4,2,15,580.0396058616077,662.5288841495437
21,3,4,2,12,570.8820343438335,668.5767993722404
22,3,4,2,11,539.6022050976929,466.8827208972412
23,3,4,2,10,486.3482223923441,335.6082053251876
24,3,4,1,15,499.1935567396096,498.9829542596529
25,3,4,2,15,569.1279965616911,447.4309987024268
26,3,4,2,14,366.6424854481992,605.5967097064289
27,3,4,1,11,535.6947945305587,467.6781721125387
28,3,4,1,15,397.7410531774689,358.8787798033676
29,3,4,1,15,429.9204438866409,531.5597581715978
30,3,4,2,12,646.8649702537026,679.7655263203842
31,3,4,2,9,413.6211739729097,370.0404668839866
32,3,4,2,13,651.875074810308,328.8066816193827
33,3,4,2,12,402.6094244165172,384.4348968787731
34,3,4,1,14,538.8814503294968,575.9861840751299
35,3,4,2,15,477.5222983998011,623.7324616253158
36,3,4,2,12,587.0129315628283,572.4682831687655
37,3,4,2,14,538.4670508317514,535.3845592653671
38,3,4,1,9,488.4675556842305,503.6612157173199
39,3,4,2,15,526.1593875751898,388.606895340185
40,3,4,1,8,393.1346068507133,407.4412174428868
1,1,5,1,13,424.095524480712,437.8600962570422
2,1,5,1,15,367.223422919522,446.690814795585
3,1,5,1,11,468.044915524178,509.7826854742656
4,1,5,2,9,582.0394186282,542.5703872971218
5,1,5,2,9,431.2414983431111,510.7774682418577
6,1,5,1,15,547.0604659301134,639.5915963603967
7,1,5,2,13,579.6847967116807,400.2777752241521
8,1,5,1,15,403.9776360774069,375.7336037422264
9,1,5,2,14,400.4433660794221,526.7171072320889
10,1,5,1,11,532.305619466567,587.1958349636002
11,1,5,1,8,351.8505351301792,601.1557243456182
12,1,5,1,14,624.2431250742063,461.9240181613154
13,1,5,1,12,573.4423432427125,588.9234632718453
14,1,5,2,8,416.3877557986511,322.2783986184197
15,1,5,1,13,523.9386858099474,424.2982710369436
16,1,5,1,15,549.4251601614329,462.6652461209493
17,1,5,1,14,417.9849329750312,363.9083812508831
18,1,5,1,9,431.1093037797103,428.7523403855403
19,1,5,1,13,541.3613925465061,403.5137295317289
20,1,5,2,8,514.4803596834194,614.1355842234939
21,1,5,2,11,525.051433509283,621.988955962912
22,1,5,1,9,662.1206365501182,345.1929101754077
23,1,5,2,15,478.4094338941374,440.3273483698378
24,1,5,1,15,452.251619649895,453.2071667347303
25,1,5,1,10,398.4124665910302,515.3063519357192
26,1,5,1,12,697.6334068387858,482.236789061545
27,1,5,2,13,531.832065534481,479.020093292711
28,1,5,2,11,423.3085980272937,520.4628696801763
29,1,5,2,10,522.3995369026981,460.6404292702925
30,1,5,1,14,434.8113894852024,667.0132277689067
31,1,5,1,15,457.7478487874217,408.8492736710765
32,1,5,2,9,409.42691177164,474.4874369561772
33,1,5,1,14,404.2345885170485,530.685648730623
34,1,5,1,10,538.276323166431,666.9965083165266
35,1,5,2,11,311.7419903056204,642.6496944971877
36,1,5,1,10,390.7054132370944,562.1748731920291
37,1,5,1,13,738.360556183648,542.9445567653039
38,1,5,2,13,653.3254957439797,371.0926406443302
39,1,5,2,12,519.5479537632846,548.6680006621333
40,1,5,2,15,336.7725901401584,401.5912808939044
1,2,5,2,12,605.2671026219368,542.6547204581192
2,2,5,1,9,417.8422606329079,600.033759073463
3,2,5,2,13,480.6551510054534,415.3762215599439
4,2,5,2,9,583.0529566935534,445.1439489459338
5,2,5,2,12,559.7872056933279,595.3819088311518
6,2,5,2,9,531.8948506984885,593.1150285811733
7,2,5,2,14,506.4901783324866,489.6811573355657
8,2,5,1,14,368.568068017009,533.7622604277144
9,2,5,1,11,324.8529944010096,524.1144081176241
10,2,5,1,12,511.4992745390498,479.9302836531176
11,2,5,1,14,408.1431462689968,589.5154304007501
12,2,5,1,9,647.8931527344499,519.8589955515049
13,2,5,1,10,454.0916441664542,448.4839855744715
14,2,5,1,9,345.2692019188826,504.4710249569295
15,2,5,2,12,603.2197068483308,335.651213139371
16,2,5,1,14,414.5782829949824,469.3938239850263
17,2,5,2,12,581.3345482774944,589.8482666136975
18,2,5,2,13,435.0543406482845,390.977452480829
19,2,5,1,10,597.9111183818262,422.7331619100112
20,2,5,1,14,410.7106937901314,444.405643100425
21,2,5,1,10,471.3540275687368,333.4984442218476
