hhid,pid,age,sex,relation,educ_years
23,2,25,2,4,11
24,2,0,2,1,4
25,2,17,2,5,12
26,2,11,1,4,9
27,2,12,2,4,10
28,2,62,1,2,12
29,2,10,2,3,1
30,2,48,2,2,7
31,2,52,1,5,3
32,2,15,2,2,8
33,2,52,2,1,10
34,2,1,1,3,10
35,2,20,2,2,10
36,2,53,1,1,11
37,2,32,1,3,10
38,2,45,2,1,9
39,2,25,1,2,1
40,2,28,2,1,12
41,2,25,2,5,9
42,2,34,2,4,16
43,2,37,1,2,5
44,2,74,2,3,5
45,2,14,1,1,5
46,2,48,2,1,6
47,2,60,2,5,6
48,2,39,2,1,0
49,2,71,2,5,8
50,2,31,2,4,6
51,2,30,2,5,2
52,2,34,2,5,0
53,2,0,1,1,11
54,2,69,2,4,9
55,2,39,2,2,12
56,2,9,1,2,3
57,2,45,2,1,8
58,2,45,1,5,8
59,2,41,1,4,7
60,2,18,1,2,9
61,2,23,1,5,1
62,2,20,2,2,4
63,2,2,2,2,9
64,2,50,2,5,6
65,2,44,2,4,9
66,2,48,1,5,13
67,2,30,1,3,5
68,2,15,2,2,12
69,2,27,2,2,8
70,2,29,2,1,9
71,2,12,1,2,5
72,2,50,2,3,5
73,2,47,2,5,1
74,2,26,1,1,0
75,2,42,2,5,6
76,2,0,2,3,9
77,2,42,2,1,18
78,2,1,1,4,5
79,2,13,1,2,5
80,2,57,1,4,3
81,2,31,2,4,7
82,2,41,1,5,8
83,2,49,1,2,4
84,2,1,2,3,9
85,2,49,2,2,7
86,2,8,1,3,6
87,2,11,1,4,9
88,2,15,1,2,7
89,2,20,2,3,11
90,2,52,1,4,7
91,2,54,2,1,11
92,2,52,1,4,4
93,2,17,2,2,17
94,2,30,2,5,10
95,2,8,1,5,10
96,2,40,2,4,7
97,2,37,1,5,7
98,2,40,2,2,2
99,2,64,1,4,1
100,2,42,1,1,13
101,2,22,2,2,7
102,2,78,2,4,3
103,2,33,2,4,15
104,2,39,2,3,8
105,2,29,1,1,8
106,2,23,2,2,4
107,2,31,1,2,8
108,2,27,2,5,7
109,2,15,2,3,12
110,2,0,1,4,13
111,2,0,2,4,10
112,2,22,1,5,1
113,2,56,2,1,11
114,2,41,1,4,10
115,2,17,1,3,6
116,2,31,1,4,12
117,2,1,1,1,7
118,2,38,2,3,8
119,2,34,1,4,4
120,2,30,2,5,2
121,2,25,1,1,3
122,2,36,2,4,4
123,2,14,2,2,3
124,2,9,1,5,4
125,2,23,2,2,7
126,2,37,1,4,5
127,2,52,1,1,9
128,2,55,2,3,8
129,2,0,1,1,7
130,2,84,2,3,12
131,2,28,2,5,0
132,2,0,1,2,5
133,2,27,2,2,0
134,2,25,1,5,5
135,2,36,2,5,8
136,2,9,2,3,13
137,2,32,1,3,7
138,2,32,2,4,12
139,2,50,2,3,10
140,2,18,1,1,5
141,2,31,2,4,4
142,2,32,1,3,8
143,2,54,2,1,7
144,2,37,2,3,15
145,2,0,2,2,14
146,2,52,1,3,5
147,2,34,1,4,7
148,2,46,2,5,4
149,2,16,2,2,16
150,2,24,2,1,1
1,3,11,1,4,5
2,3,10,1,4,9
3,3,18,2,2,2
4,3,56,1,3,0
5,3,18,1,4,5
6,3,0,2,1,7
7,3,53,2,5,14
8,3,33,2,5,4
9,3,33,1,1,3
10,3,0,1,1,4
11,3,7,2,3,9
12,3,42,1,1,9
13,3,36,2,4,5
14,3,34,1,2,6
15,3,26,2,5,11
16,3,17,2,5,4
17,3,0,1,4,13
18,3,44,1,2,12
19,3,54,2,4,8
20,3,49,1,1,9
21,3,34,1,4,11
22,3,17,1,2,9
23,3,23,2,3,12
24,3,2,1,3,8
25,3,27,1,1,4
26,3,36,2,5,5
27,3,40,1,5,12
28,3,12,2,1,8
29,3,14,1,1,12
30,3,89,2,5,12
31,3,29,2,1,13
32,3,21,2,2,4
33,3,16,1,5,5
34,3,42,1,5,9
35,3,35,2,5,1
36,3,38,1,4,14
37,3,27,1,1,11
38,3,15,2,4,8
39,3,48,1,4,2
40,3,25,2,5,5
41,3,25,2,3,4
42,3,18,2,4,5
43,3,43,2,5,11
44,3,0,1,2,12
45,3,20,1,1,15
46,3,20,2,4,6
47,3,40,1,1,3
48,3,39,1,4,10
49,3,44,1,1,5
50,3,2,1,5,15
51,3,43,1,1,3
52,3,23,2,2,6
53,3,34,1,5,4
54,3,31,2,3,8
55,3,45,2,5,0
56,3,49,2,1,4
57,3,18,2,3,3
58,3,24,1,5,7
59,3,46,1,4,6
60,3,30,1,4,11
61,3,17,2,1,9
62,3,30,1,5,7
63,3,10,1,4,8
64,3,41,2,1,5
65,3,4,2,5,8
66,3,49,2,2,12
67,3,16,1,1,4
68,3,25,2,5,12
69,3,12,2,2,11
70,3,11,1,4,13
71,3,28,1,2,15
72,3,18,2,2,0
73,3,17,2,5,11
74,3,0,1,3,6
75,3,37,1,2,10
76,3,12,2,5,10
77,3,36,1,2,11
78,3,24,1,2,17
79,3,39,2,2,20
80,3,32,2,5,14
81,3,0,1,1,6
82,3,45,1,1,9
83,3,44,1,2,2
84,3,49,1,2,3
85,3,7,2,4,6
86,3,40,2,5,3
87,3,1,2,1,2
88,3,28,1,2,7
89,3,29,2,2,5
90,3,32,2,3,9
91,3,19,2,2,12
92,3,21,1,5,10
93,3,16,2,1,13
94,3,31,1,3,13
95,3,37,2,5,6
96,3,13,2,3,5
97,3,44,2,2,7
98,3,29,2,4,13
99,3,32,1,4,12
100,3,0,1,3,9
101,3,21,1,1,10
102,3,4,1,5,7
103,3,28,1,5,5
104,3,33,2,1,9
105,3,12,2,5,9
106,3,41,2,1,11
107,3,13,2,1,5
108,3,26,2,4,10
109,3,35,1,5,7
110,3,19,1,5,4
111,3,0,1,3,7
112,3,49,2,1,10
113,3,9,2,4,8
114,3,37,2,1,0
115,3,38,2,2,11
116,3,30,2,3,5
117,3,31,1,1,5
118,3,4,1,4,5
119,3,20,2,4,5
120,3,19,2,5,4
121,3,0,1,1,7
122,3,31,2,2,10
123,3,25,2,5,7
124,3,40,2,5,5
125,3,7,2,1,10
126,3,39,1,3,12
127,3,21,1,1,3
128,3,21,2,3,8
129,3,37,1,1,10
130,3,22,1,1,3
131,3,39,1,1,6
132,3,17,1,2,7
133,3,20,1,3,2
134,3,14,1,4,11
135,3,42,2,1,8
136,3,28,2,1,19
137,3,2,1,1,6
138,3,10,2,3,4
139,3,64,2,5,1
140,3,52,1,2,6
141,3,2,1,3,8
142,3,23,2,4,6
143,3,36,1,3,10
144,3,17,1,2,15
145,3,45,1,2,4
146,3,22,2,1,3
147,3,42,2,5,18
148,3,38,1,5,7
149,3,0,1,5,4
150,3,1,2,4,5
1,4,10,1,1,11
2,4,11,2,3,0
3,4,19,2,4,20
4,4,41,2,4,14
5,4,26,2,4,7
6,4,30,1,3,8
7,4,10,1,5,8
8,4,0,1,5,9
9,4,0,2,1,14
10,4,25,2,1,10
11,4,10,1,2,12
12,4,43,2,4,8
13,4,47,2,5,8
14,4,4,2,3,9
15,4,0,1,1,7
16,4,31,1,4,8
17,4,19,1,4,10
18,4,17,2,1,8
19,4,34,1,1,6
20,4,45,1,5,6
21,4,35,2,4,4
22,4,48,1,3,7
23,4,30,1,4,7
24,4,29,2,5,12
25,4,19,1,1,4
26,4,18,1,4,3
27,4,27,1,2,12
28,4,2,2,1,0
29,4,29,2,3,0
30,4,27,1,4,10
