hhid,pid,age,sex,relation,educ_years
27,3,0,2,2,8
28,3,0,1,1,5
29,3,6,2,3,6
30,3,51,2,3,12
31,3,26,2,1,15
32,3,33,1,4,5
33,3,44,2,2,6
34,3,26,2,3,13
35,3,16,1,2,8
36,3,0,2,2,8
37,3,43,2,5,11
38,3,45,2,5,6
39,3,47,2,1,8
40,3,44,1,3,5
41,3,19,1,5,4
42,3,31,1,4,16
43,3,19,2,5,2
44,3,28,1,1,8
45,3,32,1,1,9
46,3,42,1,5,5
47,3,29,2,1,0
48,3,0,2,3,9
49,3,50,1,2,12
50,3,55,1,2,5
51,3,37,1,5,3
52,3,37,1,3,5
53,3,13,2,2,4
54,3,55,2,4,4
55,3,44,1,5,10
56,3,52,2,2,10
57,3,15,1,4,9
58,3,21,1,1,4
59,3,0,2,1,13
60,3,18,2,4,8
61,3,38,2,5,5
62,3,44,1,4,6
63,3,25,1,1,6
64,3,15,1,2,7
65,3,24,1,2,6
66,3,20,2,2,9
67,3,32,1,5,8
68,3,42,1,3,4
69,3,48,1,1,8
70,3,25,2,2,5
71,3,26,2,1,4
72,3,38,1,4,9
73,3,41,1,1,1
74,3,44,1,4,8
75,3,20,1,1,8
76,3,3,1,1,13
77,3,18,1,2,10
78,3,17,1,1,7
79,3,25,2,5,8
80,3,17,1,2,10
81,3,0,2,3,8
82,3,10,1,2,7
83,3,4,1,3,10
84,3,24,2,5,8
85,3,8,1,1,5
86,3,42,1,1,11
87,3,22,2,5,4
88,3,25,2,3,11
89,3,28,1,2,3
90,3,35,1,3,3
91,3,0,2,4,4
92,3,18,2,4,0
93,3,22,1,4,6
94,3,23,1,4,3
95,3,19,1,4,5
96,3,13,2,5,9
97,3,27,1,2,6
98,3,8,2,5,4
99,3,4,2,3,13
100,3,33,2,5,10
1,4,21,2,5,7
2,4,31,2,3,13
3,4,32,2,3,14
4,4,39,2,1,7
5,4,48,2,3,6
6,4,29,1,5,5
7,4,18,2,5,6
8,4,44,2,2,11
9,4,9,1,2,6
10,4,0,2,5,19
11,4,24,2,5,2
12,4,31,1,2,5
13,4,63,1,4,9
14,4,10,2,1,12
15,4,17,1,3,12
16,4,45,2,3,5
17,4,31,1,4,14
18,4,56,1,5,13
19,4,47,1,3,6
20,4,0,2,3,13
