hhid,pid,age,sex,relation,educ_years
86,1,29,2,1,2
87,1,29,1,3,8
88,1,34,1,1,11
89,1,33,1,2,4
90,1,37,1,2,5
91,1,19,1,3,2
92,1,49,1,1,6
93,1,33,2,4,6
94,1,54,1,3,14
95,1,8,1,3,8
96,1,12,2,5,4
97,1,26,2,4,9
98,1,33,1,1,7
99,1,21,2,3,12
100,1,61,1,1,9
101,1,33,1,3,8
102,1,34,1,1,14
103,1,51,1,3,1
104,1,51,1,3,10
105,1,32,1,4,7
106,1,50,1,1,9
107,1,50,1,3,4
108,1,3,2,4,3
109,1,43,2,4,0
110,1,29,1,4,2
111,1,13,1,4,10
112,1,31,2,4,8
113,1,54,1,4,9
114,1,11,2,4,8
115,1,27,2,4,6
116,1,0,1,4,9
117,1,7,2,5,13
118,1,19,1,1,6
119,1,28,1,3,7
120,1,22,1,5,8
1,2,49,2,3,7
2,2,30,2,5,11
3,2,14,1,1,10
4,2,8,1,3,3
5,2,56,2,1,3
6,2,46,1,2,7
7,2,0,1,3,7
8,2,13,2,3,8
9,2,49,2,1,10
10,2,32,1,2,4
11,2,31,1,2,6
12,2,34,2,2,0
13,2,8,2,5,10
14,2,15,1,5,2
15,2,56,1,4,7
16,2,50,2,3,12
17,2,43,2,1,15
18,2,27,2,3,1
19,2,32,1,4,3
20,2,70,2,1,14
21,2,0,1,4,9
22,2,61,1,1,0
23,2,21,1,1,8
24,2,51,2,4,9
25,2,13,2,5,4
26,2,22,2,3,3
27,2,41,1,1,6
28,2,9,2,2,3
29,2,22,2,1,4
30,2,16,2,3,6
31,2,36,2,2,6
32,2,7,2,3,8
33,2,46,2,3,9
34,2,19,1,1,5
35,2,39,2,1,11
36,2,41,2,5,9
37,2,39,1,3,1
38,2,23,1,2,4
39,2,33,2,5,12
40,2,49,1,5,15
41,2,0,1,4,8
42,2,47,2,2,9
43,2,23,2,4,11
44,2,6,1,5,9
45,2,36,1,1,1
46,2,23,1,4,2
47,2,53,1,4,1
48,2,15,1,1,2
49,2,0,2,3,12
50,2,26,1,3,13
51,2,19,2,2,6
52,2,29,2,2,3
53,2,25,2,4,7
54,2,46,1,2,0
55,2,23,1,1,15
56,2,17,1,4,7
57,2,8,2,1,9
58,2,43,2,4,7
59,2,11,2,2,3
60,2,45,2,5,10
61,2,45,1,5,11
62,2,21,1,5,4
63,2,54,2,1,3
64,2,0,2,2,2
65,2,41,2,3,9
66,2,11,1,3,11
67,2,48,2,3,5
68,2,33,1,5,5
69,2,1,2,4,2
70,2,8,1,5,5
71,2,21,2,3,6
72,2,3,1,1,0
73,2,26,1,2,1
74,2,36,1,4,6
75,2,4,2,1,7
76,2,34,2,5,17
77,2,27,1,3,0
78,2,41,2,4,8
79,2,54,1,4,7
80,2,41,2,3,0
81,2,19,1,4,9
82,2,85,2,3,8
83,2,23,1,3,4
84,2,39,2,1,5
85,2,24,1,5,7
86,2,0,1,4,15
87,2,20,2,2,7
88,2,49,1,5,5
89,2,41,1,2,7
90,2,52,2,2,6
91,2,19,2,1,6
92,2,46,1,1,15
93,2,34,1,3,11
94,2,2,2,3,4
95,2,46,2,2,0
96,2,30,2,4,2
97,2,63,1,1,6
98,2,1,1,5,12
99,2,0,1,5,7
100,2,22,2,5,10
101,2,26,1,1,10
102,2,0,2,1,8
103,2,36,1,5,8
104,2,0,1,4,4
105,2,17,2,2,2
106,2,45,1,5,6
107,2,27,2,4,13
108,2,49,2,1,10
109,2,27,2,2,1
110,2,50,2,3,7
111,2,59,1,5,12
112,2,0,2,1,8
113,2,27,1,1,7
114,2,42,2,4,8
115,2,60,2,1,7
116,2,7,2,4,7
117,2,17,1,4,3
118,2,58,2,4,5
119,2,2,2,4,3
120,2,0,2,3,0
1,3,36,2,5,7
2,3,46,1,3,11
3,3,18,2,3,10
4,3,50,1,4,6
5,3,60,1,2,4
6,3,24,2,5,2
7,3,52,1,4,10
8,3,19,1,5,0
9,3,21,2,2,10
10,3,37,1,3,1
11,3,12,1,1,10
12,3,5,2,4,9
13,3,28,2,5,11
14,3,38,2,3,0
15,3,30,1,4,11
16,3,37,2,2,8
17,3,61,2,4,4
18,3,49,2,1,5
19,3,43,2,4,4
20,3,25,2,5,13
21,3,31,1,2,13
22,3,22,1,4,9
23,3,51,1,5,13
24,3,11,2,4,12
25,3,27,1,2,13
26,3,16,1,5,8
27,3,35,2,3,2
28,3,43,1,4,1
29,3,29,1,1,3
30,3,28,1,3,9
31,3,25,1,3,2
32,3,54,1,1,10
33,3,21,2,4,15
34,3,20,1,4,8
35,3,37,1,4,9
36,3,59,2,1,6
37,3,21,2,2,5
38,3,7,1,3,3
39,3,45,1,1,8
40,3,39,1,5,14
41,3,21,2,4,3
42,3,21,2,4,8
43,3,28,1,5,9
44,3,32,2,5,5
45,3,28,1,3,10
46,3,54,2,1,9
47,3,41,1,1,9
48,3,30,1,4,16
49,3,8,1,5,4
50,3,12,1,4,9
51,3,20,2,4,2
52,3,35,1,1,2
53,3,30,2,4,8
54,3,24,1,1,7
55,3,20,1,5,2
56,3,34,1,3,8
57,3,16,1,4,1
58,3,34,1,1,12
59,3,2,1,3,10
60,3,31,2,2,15
61,3,15,2,1,11
62,3,34,2,5,17
63,3,65,1,5,15
64,3,0,1,3,9
65,3,34,1,3,2
66,3,24,1,5,3
67,3,17,2,3,7
68,3,31,1,2,6
69,3,45,1,1,5
70,3,9,2,2,12
71,3,34,1,5,8
72,3,41,2,4,10
73,3,25,1,1,12
74,3,37,2,1,11
75,3,35,2,2,11
76,3,18,2,1,7
77,3,29,2,4,2
78,3,24,1,1,5
79,3,4,1,3,9
80,3,27,2,2,8
81,3,8,2,5,7
82,3,45,1,5,13
83,3,26,2,2,6
84,3,27,1,1,12
85,3,17,2,1,7
86,3,72,2,5,7
87,3,20,2,4,12
88,3,35,1,5,7
89,3,49,2,1,14
90,3,36,2,1,12
91,3,32,1,3,13
92,3,15,2,5,6
93,3,33,2,1,11
94,3,32,2,3,0
95,3,5,1,1,10
96,3,40,1,2,6
97,3,43,2,3,9
98,3,6,1,2,13
99,3,44,1,2,10
100,3,25,2,4,11
101,3,16,1,1,4
102,3,79,1,2,5
103,3,18,1,2,8
104,3,0,2,5,2
105,3,30,1,3,7
106,3,68,2,3,9
107,3,43,2,2,7
108,3,23,1,1,20
109,3,27,2,2,6
110,3,7,2,5,10
111,3,16,2,2,12
112,3,22,1,2,12
113,3,54,2,3,9
114,3,22,2,5,1
115,3,6,2,4,6
116,3,15,2,4,10
117,3,52,2,5,5
118,3,31,2,2,2
119,3,13,1,4,1
120,3,53,1,5,5
1,4,9,2,1,18
2,4,14,2,1,5
3,4,9,2,3,5
4,4,15,1,3,10
5,4,22,2,1,8
6,4,34,2,3,9
7,4,37,2,2,3
8,4,66,2,5,2
9,4,0,2,3,9
10,4,30,2,5,8
11,4,9,1,4,9
12,4,5,1,4,6
13,4,37,2,5,8
14,4,1,2,5,3
15,4,42,2,2,5
16,4,21,1,5,3
17,4,30,1,5,1
18,4,60,2,5,10
19,4,13,2,4,18
20,4,57,1,1,4
21,4,48,1,3,0
22,4,73,2,5,4
23,4,0,2,4,3
24,4,28,1,3,12
25,4,54,1,5,8
26,4,36,1,5,2
27,4,32,1,5,4
28,4,46,1,3,13
29,4,42,2,5,12
30,4,78,2,2,15
31,4,43,1,2,0
32,4,0,2,5,11
33,4,49,1,4,11
34,4,40,1,5,7
35,4,31,1,1,10
36,4,50,1,3,2
37,4,21,1,2,10
38,4,55,1,1,13
39,4,32,1,2,10
40,4,25,2,4,5
