hhid,pid,age,sex,relation,educ_years
68,3,30,1,2,6
69,3,37,2,3,4
70,3,67,1,1,7
71,3,16,1,2,12
72,3,33,2,3,9
73,3,26,1,1,4
74,3,40,1,4,9
75,3,35,2,4,2
76,3,0,1,2,11
77,3,36,2,3,12
78,3,36,1,5,8
79,3,19,1,1,10
80,3,3,1,3,8
81,3,37,2,4,7
82,3,53,1,1,13
83,3,29,1,2,11
84,3,29,1,4,0
85,3,8,2,5,0
86,3,36,2,4,4
87,3,21,1,1,6
88,3,16,1,4,12
89,3,38,2,5,9
90,3,28,2,3,7
1,4,53,2,4,14
2,4,0,2,1,14
3,4,22,1,2,5
4,4,0,1,3,12
5,4,17,1,4,8
6,4,36,2,5,19
7,4,29,2,3,9
8,4,48,1,1,4
9,4,0,1,3,1
10,4,25,2,1,2
11,4,64,1,3,8
12,4,44,1,2,14
13,4,29,1,4,13
14,4,31,1,2,3
15,4,54,1,1,11
16,4,14,1,1,7
17,4,43,2,5,5
18,4,29,2,3,0
19,4,37,2,1,7
20,4,8,1,1,5
21,4,32,2,4,6
22,4,52,1,3,2
23,4,51,2,1,2
24,4,29,1,3,7
25,4,0,2,2,4
26,4,18,2,2,7
27,4,13,1,1,12
28,4,16,2,2,8
29,4,20,2,4,3
30,4,29,2,4,7
